iter	Passed	Remaining
645	1751	959
646	1754	957
647	1756	954
648	1759	951
649	1761	948
650	1763	945
651	1766	942
652	1768	939
653	1771	936
654	1773	934
655	1776	931
656	1778	928
657	1781	925
658	1783	922
659	1786	920
660	1788	917
661	1791	914
662	1793	911
663	1795	908
664	1798	905
665	1800	902
666	1803	900
667	1805	897
668	1807	894
669	1810	891
670	1812	888
671	1814	885
672	1817	883
673	1820	880
674	1822	877
675	1825	874
676	1827	871
677	1830	869
678	1832	866
679	1835	863
680	1837	860
681	1840	858
682	1842	855
683	1844	852
684	1847	849
685	1849	846
686	1852	843
687	1854	840
688	1856	838
689	1858	835
690	1861	832
691	1863	829
692	1865	826
693	1868	823
694	1870	820
695	1872	818
696	1875	815
697	1878	812
698	1880	809
699	1882	806
700	1885	804
701	1887	801
702	1889	798
703	1891	795
704	1893	792
705	1896	789
706	1898	786
707	1901	784
708	1903	781
709	1905	778
710	1907	775
711	1910	772
712	1912	769
713	1914	767
714	1917	764
715	1919	761
716	1921	758
717	1924	755
718	1926	752
719	1928	750
720	1931	747
721	1933	744
722	1936	741
723	1938	738
724	1940	736
725	1942	733
726	1945	730
727	1947	727
728	1950	724
729	1952	722
730	1955	719
731	1957	716
732	1959	713
733	1961	711
734	1964	708
735	1966	705
736	1968	702
737	1971	699
738	1973	697
739	1975	694
740	1978	691
741	1980	688
742	1982	685
743	1984	682
744	1986	680
745	1989	677
746	1991	674
747	1994	671
748	1996	669
749	1998	666
750	2001	663
751	2006	661
752	2009	659
753	2011	656
754	2013	653
755	2016	650
756	2018	647
757	2020	645
758	2023	642
759	2025	639
760	2027	636
761	2029	634
762	2032	631
763	2034	628
764	2036	625
765	2038	622
766	2041	620
767	2043	617
768	2045	614
769	2048	611
770	2050	609
771	2052	606
772	2055	603
773	2057	600
774	2059	597
775	2061	595
776	2064	592
777	2066	589
778	2068	586
779	2071	584
780	2073	581
781	2075	578
782	2078	575
783	2080	573
784	2083	570
785	2085	567
786	2088	565
787	2091	562
788	2093	559
789	2095	557
790	2097	554
791	2100	551
792	2102	548
793	2104	546
794	2107	543
795	2109	540
796	2111	537
797	2113	535
798	2116	532
799	2118	529
800	2120	526
801	2123	524
802	2125	521
803	2127	518
804	2129	515
805	2132	513
806	2134	510
807	2136	507
808	2139	505
809	2141	502
810	2143	499
811	2146	496
812	2148	494
813	2150	491
814	2153	488
815	2155	486
816	2157	483
817	2160	480
818	2162	477
819	2164	475
820	2167	472
821	2169	469
822	2171	467
823	2173	464
824	2176	461
825	2178	458
826	2181	456
827	2183	453
828	2185	450
829	2188	448
830	2190	445
831	2192	442
832	2194	440
833	2196	437
834	2199	434
835	2201	431
836	2203	429
837	2205	426
838	2208	423
839	2210	421
840	2213	418
841	2215	415
842	2217	413
843	2220	410
844	2222	407
845	2224	404
846	2226	402
847	2229	399
848	2231	396
849	2233	394
850	2236	391
851	2238	388
852	2240	386
853	2243	383
854	2245	380
855	2247	378
856	2249	375
857	2252	372
858	2254	370
859	2256	367
860	2259	364
861	2261	362
862	2263	359
863	2265	356
864	2267	353
865	2270	351
866	2272	348
867	2274	345
868	2276	343
869	2278	340
870	2281	337
871	2283	335
872	2285	332
873	2288	329
874	2290	327
875	2292	324
876	2294	321
877	2297	319
878	2299	316
879	2301	313
880	2304	311
881	2306	308
882	2308	305
883	2310	303
884	2313	300
885	2315	297
886	2317	295
887	2319	292
888	2322	289
889	2324	287
890	2326	284
891	2328	281
892	2331	279
893	2333	276
894	2335	274
895	2338	271
896	2340	268
897	2342	266
898	2344	263
899	2347	260
900	2349	258
901	2351	255
902	2354	252
903	2356	250
904	2358	247
905	2361	245
906	2363	242
907	2366	239
908	2368	237
909	2370	234
910	2373	231
911	2375	229
912	2378	226
913	2380	223
914	2382	221
915	2384	218
916	2386	216
917	2389	213
918	2391	210
919	2394	208
920	2396	205
921	2398	202
922	2400	200
923	2403	197
924	2405	195
925	2407	192
926	2410	189
927	2412	187
928	2414	184
929	2416	181
930	2418	179
931	2421	176
932	2423	174
933	2425	171
934	2427	168
935	2430	166
936	2432	163
937	2434	160
938	2437	158
939	2439	155
940	2442	153
941	2444	150
942	2446	147
943	2448	145
944	2451	142
945	2453	140
946	2455	137
947	2458	134
948	2460	132
949	2462	129
950	2464	126
951	2466	124
952	2469	121
953	2471	119
954	2473	116
955	2476	113
956	2478	111
957	2480	108
958	2482	106
959	2485	103
960	2487	100
961	2489	98
962	2492	95
963	2494	93
964	2496	90
965	2498	87
966	2500	85
967	2503	82
968	2505	80
969	2507	77
970	2509	74
971	2512	72
972	2514	69
973	2516	67
974	2518	64
975	2521	61
976	2523	59
977	2525	56
978	2528	54
979	2530	51
980	2532	49
981	2534	46
982	2537	43
983	2539	41
984	2541	38
985	2543	36
986	2546	33
987	2548	30
988	2551	28
989	2553	25
990	2555	23
991	2557	20
992	2560	18
993	2563	15
994	2565	12
995	2567	10
996	2569	7
997	2572	5
998	2574	2
999	2576	0
